Key,Value
1980_Spring_2_avg_rainfall,70.70466666666667
1980_Spring_3_avg_rainfall,100.45533333333333
1980_Spring_4_avg_rainfall,49.19533333333334
1980_Summer_5_avg_rainfall,68.82666666666667
1980_Summer_6_avg_rainfall,70.96000000000001
1980_Summer_7_avg_rainfall,57.108000000000004
1990_Spring_2_avg_rainfall,90.34133333333332
1990_Spring_3_avg_rainfall,72.88533333333334
1990_Spring_4_avg_rainfall,73.14666666666668
1990_Summer_5_avg_rainfall,51.677333333333344
1990_Summer_6_avg_rainfall,67.31533333333333
1990_Summer_7_avg_rainfall,67.04733333333333
2000_Spring_2_avg_rainfall,61.16466666666666
2000_Spring_3_avg_rainfall,60.43466666666667
2000_Spring_4_avg_rainfall,56.283333333333324
2000_Summer_5_avg_rainfall,64.47800000000001
2000_Summer_6_avg_rainfall,62.31733333333334
2000_Summer_7_avg_rainfall,68.70466666666667
2010_Spring_2_avg_rainfall,56.588
2010_Spring_3_avg_rainfall,51.949333333333335
2010_Spring_4_avg_rainfall,42.02866666666667
2010_Summer_5_avg_rainfall,44.897333333333336
2010_Summer_6_avg_rainfall,48.723333333333336
2010_Summer_7_avg_rainfall,50.39266666666667
2020_Spring_2_avg_rainfall,101.79333333333334
2020_Spring_3_avg_rainfall,44.98444444444444
2020_Spring_4_avg_rainfall,27.040000000000003
2020_Summer_5_avg_rainfall,47.14666666666667
2020_Summer_6_avg_rainfall,48.42666666666667
2020_Summer_7_avg_rainfall,50.97777777777778
